,alfab_dez_mais,area_hectare,dens_dem,dist_marco_zero,morador_por_domic,nome_bairro,num_domic,pop_0_4,pop_15_17,pop_18_24,pop_25_59,pop_5_14,pop_60_,pop_fem,pop_masc,pop_porc_amarela,pop_porc_branca,pop_porc_indigena,pop_porc_parda,pop_porc_preta,populacao,prop_resp_fem,rend_medio,rpa,taxa_m_cresc,classe_socioeconomica
0,81.7,270,2.23,0.0,3.0,Bairro do Recife,198,50,36,73,276,137,30,315,287,0.5,3.89,0.5,30.72,34.39,602,66.83,567.0,1,-4.2,0
1,98.5,176,84.15,2.78,2.4,Boa Vista,5999,447,477,2303,7758,935,2858,8614,6164,1.25,59.9,0.26,33.37,5.22,14778,54.43,3618.45,1,0.52,1
2,94.5,81,19.16,3.26,3.1,Cabanga,506,73,69,168,772,197,272,872,679,1.35,41.78,0.32,45.13,11.41,1551,57.0,1986.08,1,0.1,2
3,87.7,43,178.51,2.15,3.6,Coelhos,2322,579,427,970,3646,1379,632,4062,3571,0.86,31.5,0.72,53.36,13.56,7633,53.63,898.41,1,1.12,2
4,96.8,26,38.21,2.64,2.8,Ilha do Leite,361,39,48,14,534,121,151,561,446,1.49,58.39,0.4,33.86,5.86,1007,56.79,3024.11,1,0.49,2
5,83.2,87,144.85,2.89,3.5,Ilha Joana Bezerra,3606,1158,838,1687,5371,2747,828,6627,6002,0.78,24.62,0.21,58.22,16.17,12629,57.31,705.83,1,-0.1,2
6,98.5,34,14.7,3.0,2.7,Paissandu,180,12,28,85,252,44,86,289,218,0.39,80.87,0.0,16.96,1.78,507,58.33,5115.06,1,-0.46,1
7,90.5,380,73.52,1.98,3.3,Santo Amaro,8474,1745,1468,3471,13258,4404,3593,15259,12680,1.3,34.49,0.3,54.27,9.64,27939,55.32,1892.1,1,-0.42,0
8,99.3,81,3.53,0.82,1.7,Santo Antônio,142,2,10,38,162,13,60,126,159,2.81,32.98,1.75,57.19,5.26,285,34.27,1477.92,1,-6.17,2
9,87.2,326,26.62,2.21,3.2,São José,2704,668,448,1023,4070,1640,839,4497,4191,0.61,28.67,0.15,62.43,8.14,8688,51.56,1402.11,1,0.04,0
10,98.2,32,77.06,2.18,2.4,Soledade,1013,62,94,469,1242,148,480,1454,1041,1.16,61.44,0.52,32.27,4.61,2495,57.04,3747.16,1,1.26,2
11,90.4,193,225.38,6.17,3.5,Água Fria,12294,3084,2294,5353,20693,7296,4809,23235,20294,0.97,28.58,0.14,58.75,13.66,43529,47.03,1189.92,2,-0.11,0
12,90.5,31,245.74,6.68,3.6,Alto Santa Terezinha,2157,591,405,1095,3626,1255,731,4102,3601,0.87,24.46,0.2,63.46,11.01,7703,47.89,921.74,2,-0.16,2
13,94.0,100,145.56,4.81,3.2,Arruda,4467,880,665,1699,7387,2144,1755,7923,6607,0.72,40.8,0.16,47.04,11.28,14530,53.54,2234.83,2,0.79,2
14,91.8,49,180.79,6.92,3.4,Beberibe,2586,655,450,1094,3978,1514,611,4625,4321,1.34,31.78,0.15,55.61,11.12,8856,50.93,1038.23,2,1.26,2
15,91.4,43,195.67,5.75,3.6,Bomba do Hemetério,2350,487,426,1013,4213,1300,1033,4592,3880,0.86,30.37,0.21,54.45,14.11,8472,55.66,1346.55,2,-0.2,2
16,96.1,59,111.49,5.95,3.5,Cajueiro,1902,368,280,753,3317,846,1020,3601,2983,0.6,44.12,0.27,48.92,6.09,6584,47.27,2777.17,2,-0.24,2
17,89.7,52,182.67,5.26,3.4,Campina do Barreto,2833,737,543,1152,4499,1585,968,5054,4430,0.7,29.84,0.15,55.67,13.64,9484,48.68,1088.8,2,1.3,2
18,91.5,222,145.04,3.8,3.4,Campo Grande,9554,2147,1569,3906,15609,4859,4059,17592,14557,1.18,37.38,0.36,50.04,11.04,32149,54.07,2132.0,2,0.29,0
19,90.9,312,105.51,8.7,3.5,Dois Unidos,9374,2438,1937,4250,15712,5765,2803,17243,15662,0.65,29.23,0.17,59.57,10.38,32805,45.06,937.92,2,1.91,0
20,98.2,102,117.27,3.97,2.9,Encruzilhada,4008,603,401,1194,6424,1189,2129,6744,5196,0.76,64.05,0.24,30.94,4.01,11940,45.41,5692.93,2,2.48,1
21,93.5,62,130.21,5.95,3.3,Fundão,2495,507,391,896,4149,1267,922,4425,3707,0.76,33.41,0.15,54.45,11.23,8132,48.46,1610.32,2,1.62,2
22,97.7,30,88.13,3.91,3.3,Hipódromo,808,112,116,262,1367,283,518,1496,1162,0.41,65.84,0.08,28.59,5.08,2658,47.15,4803.91,2,0.12,1
23,91.3,82,181.2,7.05,3.5,Linha do Tiro,4201,1131,818,1852,7194,2596,1276,7862,7005,1.12,28.32,0.19,58.88,11.49,14867,50.04,1028.96,2,0.64,2
24,81.4,34,148.43,4.88,3.6,Peixinhos,1383,428,287,651,2343,954,335,2555,2443,0.54,23.69,0.0,58.44,17.33,4998,53.83,760.72,2,1.72,2
25,95.4,20,79.53,4.43,3.1,Ponto de Parada,500,70,70,499,806,185,224,861,693,0.32,44.21,0.6,51.1,4.31,1554,62.4,3248.99,2,-0.74,2
26,95.2,48,161.35,6.52,3.3,Porto da Madeira,2334,459,374,917,3953,1118,892,4134,3579,0.65,38.78,0.05,51.35,9.17,7713,52.84,1977.89,2,0.09,2
27,95.3,25,160.87,4.46,3.1,Rosarinho,1329,254,166,438,2194,494,531,2260,1817,0.12,63.5,0.15,33.14,3.09,4077,39.97,6547.75,2,1.58,1
