,Unnamed: 0,Unnamed: 0.1,alfab_dez_mais,area_hectare,dens_dem,dist_marco_zero,morador_por_domic,nome_bairro,num_domic,pop_0_4,pop_15_17,pop_18_24,pop_25_59,pop_5_14,pop_60_,pop_fem,pop_masc,pop_porc_amarela,pop_porc_branca,pop_porc_indigena,pop_porc_parda,pop_porc_preta,populacao,prop_resp_fem,rend_medio,rpa,taxa_m_cresc,qtd_chamados,chamados_p_area
80,80,80,97.3,180,139.27,7.6,3.3,IPSEP,7692,1071,1035,2759,12741,2893,4530,14022,11007,0.9,48.72,0.33,44.94,5.11,25029,46.77,2454.22,6,-0.27,1513.0,8.405555555555555
81,81,81,92.4,158,131.49,11.09,3.5,JORDAO,6018,1310,1172,2710,10142,3397,2046,11031,9746,1.11,34.86,0.16,52.89,10.98,20777,44.32,1274.0,6,0.49,1300.0,8.227848101265822
82,82,82,92.2,629,46.38,4.57,3.1,PINA,9457,1884,1424,3471,14574,4310,3513,15673,13503,0.9,37.73,0.24,51.24,9.89,29176,49.65,2446.83,6,0.62,1373.0,2.1828298887122415
83,83,83,99.2,31,187.83,3.72,3.0,AFLITOS,1937,240,224,695,3030,546,1038,3232,2541,0.87,76.11,0.02,21.13,1.87,5773,51.24,1028.96,3,2.8,150.0,4.838709677419355
84,84,84,91.0,57,219.26,7.27,3.5,ALTO JOSE BONIFACIO,3570,911,696,1596,5996,2085,1188,6599,5863,0.67,25.49,0.13,58.9,4.81,12462,42.64,908.76,3,0.07,635.0,11.140350877192983
85,85,85,91.7,41,298.4,6.05,3.5,ALTO JOSE DO PINHO,3510,785,644,1507,6022,2027,1349,6717,5617,1.39,29.02,0.37,53.57,15.65,12334,53.72,1101.22,3,-0.08,401.0,9.78048780487805
86,86,86,90.2,64,129.86,9.34,3.4,BREJO DE BEBERIBE,2459,655,450,1094,3978,1514,601,4354,3938,1.45,31.5,0.02,57.18,9.85,8292,48.21,1058.37,3,3.62,198.0,3.09375
87,87,87,93.1,585,4.39,10.4,3.5,DOIS IRMAOS,737,177,151,372,1241,427,198,1315,1251,1.09,35.39,1.09,55.53,7.91,2566,44.1,1936.1,3,-1.7,412.0,0.7042735042735043
88,88,88,98.1,73,142.56,3.09,2.9,ESPINHEIRO,3602,469,327,1285,5415,892,2050,5973,4465,0.8,70.56,0.18,25.03,3.43,10438,49.28,7299.96,3,1.6,506.0,6.931506849315069
89,89,89,99.2,144,143.08,3.71,2.9,GRACAS,7015,794,838,2608,10648,1904,3746,11696,8842,0.96,76.68,0.1,19.85,2.4,20538,49.18,9484.01,3,1.6,654.0,4.541666666666667
90,90,90,87.1,406,49.98,10.97,3.5,PASSARINHO,5792,1733,1242,2731,9354,3940,1305,10371,9954,0.32,25.24,0.04,66.65,7.75,20305,41.31,824.02,3,2.79,818.0,2.0147783251231526
91,91,91,96.1,87,117.54,8.0,3.3,ENGENHO DO MEIO,3053,486,464,1170,2242,1204,1645,5602,4609,1.24,43.49,0.39,47.25,7.56,10211,46.09,2594.45,4,-0.34,712.0,8.183908045977011
92,92,92,90.3,798,20.56,9.68,3.3,CURADO,4900,1258,830,1928,8319,2757,1326,8665,7753,0.9,33.91,0.23,56.94,8.02,16418,40.08,1216.36,5,1.99,405.0,0.5075187969924813
93,93,93,91.8,61,302.81,2.33,3.4,BRASILIA TEIMOSA,5464,1285,907,2156,9084,2854,2048,9773,8571,0.99,33.05,0.31,56.62,8.93,18334,49.57,1220.81,6,-0.44,933.0,15.295081967213115
